t (min),CA0,CA1,CB1,CA2,CB2,error
40.0,20,12.499989054064166,7.495641455925266,7.812388911782158,12.144401687002228,0.0349296170522073
40.5,20,12.4999908054139,7.49607665357659,7.812405591303429,12.148268998601461,0.031834260499815754
41.0,20,12.499992276547676,7.496468436543765,7.81241977723627,12.15179409957718,0.029008893228703467
41.5,20,12.499993512300048,7.496821129482249,7.812431840533234,12.155006719908014,0.026430428257792432
42.0,20,12.49999455033204,7.497138627272027,7.812442097277922,12.157934071297431,0.02407770409224145
42.5,20,12.499995422278914,7.497424437564747,7.812450816746658,12.160601052731566,0.021931329073050076
43.0,20,12.499996154714289,7.497681719145007,7.8124582282950845,12.163030440219684,0.01997353784533903
43.5,20,12.499996769960003,7.497913316513364,7.8124645272393,12.165243061809921,0.01818805903832038
44.0,20,12.499997286766403,7.498121791059627,7.812469879877012,12.167257958914623,0.016559993315718464
44.5,20,12.499997720883778,7.498309449159648,7.8124744277733305,12.169092534921745,0.015075701017614674
45.0,20,12.499998085542373,7.49847836749671,7.812478291417976,12.170762692011936,0.013722698671026176
45.5,20,12.499998391855593,7.498630415879581,7.8124815733453365,12.172282957045491,0.012489563699103291
46.0,20,12.499998649158698,7.498767277802958,7.812484360795642,12.17366659732962,0.011365846707449907
46.5,20,12.499998865293307,7.498890468972184,7.812486727984209,12.174925727024691,0.010341990771054983
47.0,20,12.499999046846378,7.499001353992564,7.812488738036066,12.176071404898494,0.00940925718735261
47.5,20,12.499999199350958,7.49910116140409,7.812490444634934,12.177113724090065,0.008559657199463553
48.0,20,12.499999327454805,7.499190997224738,7.81249189342844,12.178061894499564,0.007785889230267298
48.5,20,12.499999435062037,7.4992718571495525,7.81249312322537,12.178924318377788,0.007081281200863345
49.0,20,12.499999525452111,7.49934463753832,7.812494167015514,12.179708659648487,0.006439737539016798
49.5,20,12.499999601379773,7.499410145311614,7.812495052838243,12.1804219074584,0.005855690511651056
50.0,20,12.49999966515901,7.4994691068632395,7.812495804522102,12.181070434414016,0.005324055542630341
50.5,20,12.499999718733568,7.499522176086456,7.812496442314466,12.181660049930265,0.004840190202587608
51.0,20,12.499999763736197,7.499569941601825,7.812496983417509,12.182196049084752,0.004399856580264956
51.5,20,12.499999801538406,7.499612933265814,7.812497442444327,12.182683257341509,0.003999186767526753
52.0,20,12.49999983329226,7.499651628031537,7.812497831807075,12.183126071480599,0.003634651209319389
52.5,20,12.499999859965499,7.499686455225919,7.812498162047169,12.183528497044117,0.003303029689762106
53.0,20,12.49999988237102,7.499717801301257,7.812498442116172,12.183894182585128,0.0030013847422748104
53.5,20,12.499999901191657,7.499746014113392,7.812498679614686,12.184226450983711,0.002727037288089416
54.0,20,12.499999917000991,7.499771406773553,7.812498880995502,12.184528328073561,0.0024775443227821286
54.5,20,12.499999930280833,7.499794261116257,7.812499051736321,12.18480256880329,0.0022506784839570622
55.0,20,12.499999941435899,7.499814830821482,7.812499196486593,12.185051681138766,0.002044409346755574
55.5,20,12.499999950806155,7.499833344225487,7.812499319192328,12.185277947896234,0.0018568863052184266
56.0,20,12.49999995867717,7.499850006851307,7.812499423202171,12.1854834466807,0.0016864229093963125
56.5,20,12.499999965288824,7.499865003686807,7.812499511357541,12.185670068089891,0.0015314825376784018
57.0,20,12.499999970842612,7.499878501235456,7.812499586069217,12.185839532331036,0.0013906652938856356
57.5,20,12.499999975507794,7.499890649362467,7.812499649382404,12.18599340438563,0.0012626960272229494
58.0,20,12.499999979426548,7.499901582956688,7.812499703031999,12.186133107846258,0.001146413381431601
58.5,20,12.4999999827183,7.499911423426612,7.812499748489534,12.186259937539221,0.0010407597869497077
59.0,20,12.499999985483372,7.499920280047049,7.812499787003039,12.186375071037332,0.000944772316953798
